phone_number,name,formatted_address,website,rating,user_ratings_total,business_status,types
,Christmas Light Professionals,"3300 S Knox Ct unit c, Greenwood Village, CO 80110, United States",,4.9,427,OPERATIONAL,"general_contractor, home_goods_store, store, point_of_interest, establishment"
,Denver Christmas Lights Displays,"5277 Kittredge St, Denver, CO 80239, United States",,5,18,OPERATIONAL,"store, point_of_interest, establishment"
,Above All Holiday Lighting,"4860 S Acoma St, Englewood, CO 80110, United States",,4.9,63,OPERATIONAL,"electrician, general_contractor, point_of_interest, establishment"
,Novelty Lights LLC,"9800 E Easter Ave STE 160, Centennial, CO 80112, United States",,4.5,50,OPERATIONAL,"home_goods_store, store, point_of_interest, establishment"
,Brite Nites | Holiday & Outdoor Lighting,"720 S Colorado Blvd Penthouse North, Denver, CO 80246, United States",,5,114,OPERATIONAL,"general_contractor, point_of_interest, establishment"
,Colorado Christmas Lights,"2186 S Holly St #10, Denver, CO 80222, United States",,4,4,OPERATIONAL,"store, point_of_interest, establishment"
,Lighthouse Outdoor Lighting and Audio of Denver,"9940 E Costilla Ave j, Centennial, CO 80112, United States",,4.9,91,OPERATIONAL,"general_contractor, point_of_interest, establishment"
,Christmas Light Contractors,"2670 S Lafayette St, Denver, CO 80210, United States",,5,57,OPERATIONAL,"home_goods_store, store, point_of_interest, establishment"
,Brilliant Christmas Lights,"4444 Morrison Rd #3, Denver, CO 80219, United States",,5,35,OPERATIONAL,"store, point_of_interest, establishment"
,Denver Zoo Lights,"2900 E 23rd Ave, Denver, CO 80205, United States",,4.4,129,OPERATIONAL,"zoo, point_of_interest, establishment"
,Denver Christmas Light Installers,"2821 S Parker Rd Tower 2, Suite 25, Aurora, CO 80014, United States",,5,13,OPERATIONAL,"point_of_interest, establishment"
,Urban Lights,"1393 S Santa Fe Dr, Denver, CO 80223, United States",,4.5,450,OPERATIONAL,"general_contractor, home_goods_store, store, point_of_interest, establishment"
,HoliGlows Christmas Lights Installation and Removal,"5031 S Ulster St, Denver, CO 80237, United States",,5,5,OPERATIONAL,"home_goods_store, store, point_of_interest, establishment"
